id;cnc_nb;visa_nb;title;movie_type;has_ad;movie_public
2;1900000021;000213;LE MESSAGER;DRAME;;TP
3;1900000030;000256;LA MAISON D EN FACE;COMEDIE;;
4;1900000034;000294;PAIX SUR LE RHIN;DRAME;;
5;1900000040;000305;LA VIE EST MAGNIFIQUE;DRAME;;
6;1900000044;000312;LA FILLE DE MADAME ANGOT;COMEDIE DRAMATIQUE;;
7;1900000078;000580;MADAME SANS GENE;COMEDIE;;
8;1900000089;000743;LA SOUDURE OXYACETILENIQUE DE L ALUMINIUM;DOCUMENTAIRE;;
9;1900000195;001246;DERNIERE HEURE;DRAME;;
10;1900000250;001512;LE DERNIER MILLIARDAIRE;COMEDIE;;
11;1900000251;001515;LE ROMAN D UN JEUNE HOMME PAUVRE;DRAME;;
12;1900000295;001812;LE PATRIOTE;GUERRE;;
13;1900000339;002017;FAMILLE NOMBREUSE;COMEDIE;;
14;1900000396;002484;PROMESSES;THRILLER;;
15;1900000397;002485;NUIT SILENCIEUSE;DRAME;;
16;1900000409;002556;LA RELEVE;THRILLER;;
17;1900000503;003743;LES POUPEES DU DIABLE;HORREUR;;
18;1900000508;003818;UN TRAIN DANS LA NUIT;DRAME;;
19;1900000517;003889;VOLGA VOLGA;MUSICAL;;
20;1900000587;004344;PRESSE CLANDESTINE;DRAME;;
21;1900000606;004416;LE CERCLE ROUGE;THRILLER;;
22;1900000692;005215;AMOURS MEXICAINES;DRAME;;
23;1900000734;005542;MONSIEUR VINCENT;DRAME;;TP
24;1900000789;005909;TOUTE UNE VIE;DRAME;;
25;1900001098;007453;SU ULTIMA AVENTURA;DRAME;;
26;1900001186;007939;LES DEUX ORPHELINS;COMEDIE;;
27;1900001323;008622;L ENFER BLANC;DRAME;;
28;1900001367;008887;LE BOURREAU;DRAME;;
29;1900001540;010090;LES DAMNES DE L AMAZONE;AVENTURES;;
30;1900001646;010846;;;;
31;1900001649;010862;LES FRERES KARAMAZOV;DRAME;;
32;1900001661;010973;OUTRAGE;GUERRE;;TP
33;1900001831;012209;LE SECRET D UNE FEMME;DRAME;;TP
34;1900001904;012533;L EXPEDITION DU KON TIKI;DOCUMENTAIRE;;
35;1900002158;014194;OCCUPE TOI DE MON MINIMUM;DRAME;;
36;1900002235;014620;COMTE DE MONTE-CRISTO (LE)(1ERE PARTIE : LA TRAHISON);AVENTURES;OUI;TP
37;1900002280;014877;BEN HUR;DRAME;;
38;1900002290;014918;LEON TOLSTOI;DRAME;;
39;1900002307;014997;;DOCUMENTAIRE;;
40;1900002356;015275;REMOUS;DRAME;;
41;1900002454;015903;LENINE EN 1918;GUERRE;;
42;1900002521;016260;PARIS LA NUIT;COMEDIE DRAMATIQUE;OUI;
43;1900002528;016297;LA VIE D EMILE ZOLA;BIOGRAPHIE;;TP
44;1900002599;016681;CETTE VIEILLE CANAILLE;DRAME;OUI;
45;1900002616;016781;LA CHANSON QUI TUE;DRAME;;
46;1900002703;017292;LES VOYOUS;THRILLER;;
47;1900002735;017491;GRAND HOTEL;DRAME;;
48;1900002801;017788;PAUL ET VIRGINIE;DRAME;;
49;1900002889;018341;BIGAMIE;DRAME;;TP
50;1900003043;019248;L ARGENT;DRAME;;TP
51;1900003054;019328;RENCONTRE A VARSOVIE;DRAME;;TP
52;1900003105;019534;CESARIN L ETROIT MOUSQUETAIRE;COMEDIE;;
53;1900003150;019772;L IMPOSSIBLE ISABELLE;COMEDIE;;
54;1900003245;020264;LES DEMI VIERGES;XPORNO;;
55;1900003275;020462;LA BASKETTEUSE NUMERO 5;DRAME;;
56;1900003305;020583;BELLES MAIS PAUVRES;COMEDIE;;TP
57;1900003315;020620;L IDOLE VIVANTE;AVENTURES;;
58;1900003321;020683;LA SYMPHONIE DE LENINGRAD;GUERRE;;
59;1900003423;021148;UNE VIEILLE LEGENDE TCHEQUE: NECKLANE LE LACHE;ANIMATION;;
60;1900003440;021240;LA TERRE DE FEU S ETEINT;DOCUMENTAIRE;;
61;1900003568;021955;SCANDALE A PARIS;AVENTURES;;
62;1900003605;022178;CHANSON SUR LE PREMIER AMOUR;DRAME;;TP
63;1900003620;022255;BOITE A BAC;COMEDIE;;
64;1900003830;023119;MARION DELORME;DRAME;;
65;1900003855;023211;POEME DE LA MER;DRAME;;
66;1900004056;024113;LAURA NUDA;DRAME;;TP
67;1900004120;024374;LA VIE FUTURE;SCIENCE FICTION;;
68;1900004178;024681;UN NID POUR NOTRE AMOUR;DRAME;;
69;1900004392;025685;LE MARI DE SA FEMME;COMEDIE;;
70;1900004440;025882;CINQ FLEURS D OR;MUSICAL;;ND
71;1900004469;025969;PRIMARY;DOCUMENTAIRE;;
72;1900004608;026558;UN HEROS DE NOTRE TEMPS;COMEDIE;;TP
73;1900004837;027526;LE GOLEM;FANTASTIQUE;;
74;1900004874;027734;L AUTRE CRISTOBAL;FANTASTIQUE;;TP
75;1900004954;028095;UN HOMME SUR LA VOIE;DRAME;;
76;1900005061;028489;LE SANG ET LA CROIX;THRILLER;;
77;1900005122;028763;LA BERCEUSE;DRAME;;
78;1900005133;028827;L AFFICHE ROUGE;DRAME;;
79;1900005563;030525;NOTRE PAIN QUOTIDIEN;DOCUMENTAIRE;;
80;1900005625;030762;HIGH SIERRA;DRAME;;
81;1900005653;030885;LES DIAMANTS DE LA NUIT;DRAME;;
82;1900005793;031508;PARIS VU PAR;COMEDIE DRAMATIQUE;;TP
83;1900005918;031856;LES MISERABLES 1ERE EPOQUE;DRAME;;
84;1900005919;031857;LES MISERABLES 2EME EPOQUE;DRAME;;
