Distribution;Product code;Ayant droit;Title;Production year;Category;Production regions;Allociné;Isan;Product duration;Parental rating;Default punchline 3;Actor 1;Actor 1 role;Actor 2;Actor 2 role;Actor 3;Actor 3 role;Réalisateur;Genre;URL;Tarif location;Tarif Achat
TVOD;PERSEPOLISXW0014352;STUDIO CANAL;Persepolis;2007;film;France ,  Etats-Unis;112904;0000-0001-B7FF-0000-Q-0000-0000-X;1:31;tous publics;Téhéran 1978 : Marjane, huit ans, choyée par ses parents et sa grand-mère, suit avec exaltation les évènements qui vont mener à la révolution et provoquer la chute du régime du Shah. Avec l'instauration de la République islamique débute le temps;Chiara Mastroianni;Marjane Satrapi;Catherine Deneuve;Mrs. Satrapi - Marjane's mother (voice);Danielle Darrieux;Marjane's grandmother (voice);Gabrielle Lopes Benites ;drame;https://video-a-la-demande.orange.fr/film/PERSEPOLISXW0014352/;2,99;7.99 euros
TVOD;LAMECANIQUEW0116325;Z/24-25 FILMS-SND;La mécanique de l'ombre;2016;film;France;118185;0000-0004-91BF-0000-6-0000-0000-J;1:27;déc. -10;Deux ans après un « burn-out », Duval est toujours au chômage. Contacté par un homme d'affaire énigmatique, il se voit proposer un travail simple et bien rémunéré : retranscrire des écoutes téléphoniques. Aux abois financièrement, Duval accepte sans s'interroger sur la finalité de l'organisation qui l'emploie. Précipité au coeur d'un complot politique, il doit affronter la mécanique brutale du monde souterrain des services secrets.;François Cluzet;Duval;Denis Podalydès;Clément;Sami Bouajila;Labarthe;Thomas Kruithof ;thriller;https://video-a-la-demande.orange.fr/film/LAMECANIQUEW0116325/;2,99;7.99 euros
TVOD;LEQUIPAGEXXW0010688;PATHE;L'équipage;1935;film;France;1185;0000-0000-33C5-0000-B-0000-0000-4;1:51;tous publics;Durant la Première Guerre mondiale, un officier devient l'amant d'une femme dont il ne tarde pas à faire la rencontre de l'époux au front.;Morisi Annabella;Hélène / Denise;Jean Murat;Le capitaine Thélis;Charles Vanel;Le lieutenant Maury;Anatole Litvak;classique;https://video-a-la-demande.orange.fr/film/LEQUIPAGEXXW0010688/;2,99;7.99 euros
TVOD;GRANDFROIDXW0125770;Z/LE PETIT BUREAU-DIAPHANA;Grand froid;2017;film;France;124935;0000-0004-0BBC-0000-Q-0000-0000-X;1:23;tous publics;Dans une petite ville perdue au milieu de nulle part, le commerce de pompes funèbres d'Edmond Zweck bat de l'aile. L'entreprise ne compte plus que deux employés : Georges, le bras droit de Zweck, et Eddy, un jeune homme encore novice dans le métier. Un beau matin, pourtant, un mort pointe son nez. L'espoir renaît. Georges et Eddy sont chargés de mener le défunt jusqu'à sa dernière demeure. Mais, à la recherche du cimetière qui s'avère introuvable, le convoi funéraire s'égare et le voyage tourne au fiasco.;Jean-Pierre Bacri;Georges;Alix Bekaert;Pierre;Féodor Atkine;Simon Bartolo;Gérard Pautonnier;comédie dramatique;https://video-a-la-demande.orange.fr/film/GRANDFROIDXW0125770/;2,99;5.99 euros
TVOD;JEVOUDRAISQW0160851;Z/EASY TIGER-WARNER;Je voudrais que quelqu'un m'attende quelque part;2018;film;France;127322;0000-0004-AB40-0000-R-0000-0000-U;1:25;tous publics;Aurore célèbre ses 70 ans, entourée de quelques amis et de ses quatre enfants : Jean-Pierre, qui est devenu le chef de la famille depuis la mort de son père, Juliette, professeur de français qui rêve de devenir écrivain, Margaux, photographe indépendante rêvant de vivre de son métier, et Mathieu, le benjamin, toujours célibataire à 30 ans. La journée qu'ils passent avec leur mère va s'avérer décisive pour chacun, lorsque de vieux regrets vont revenir à la surface ou que des circonstances vont donner un autre tour à leur vie. Une histoire de famille jouant sur l'émotion, adaptation d'une nouvelle d'Anna Gavalda, qui vaut surtout pour ses comédiens.;Jean-Paul Rouve;;Alice Taglioni;;Sarah Adler;;Arnaud  Viard;comédie dramatique;https://video-a-la-demande.orange.fr/film/JEVOUDRAISQW0160851/;2,99;7.99 euros
TVOD;ATOUTEEPREUW0090140;Z/JERICO PRODUCTIONS-GAUMONT;A toute épreuve ;2014;film;France;127589;0000-0002-D775-0000-0-0000-0000-3;1:32;tous publics;Au Lycée Le Corbusier, Greg est un lycéen qui ne se laisse pas déborder par le travail. Ses priorités sont les sorties entre copains, les jeux vidéo et sa charmante petite amie Maeva avec laquelle il compte bien continuer à filer le parfait amour. Mais pour ce faire, il va lui falloir réussir son bac. De peur de rater l'examen, Greg imagine alors le cambriolage idéal : dérober les sujets dans le bureau de monsieur Lefoll, le proviseur. Une opération délicate pour laquelle le lycéen constitue une équipe de choc composée de son meilleur ami Yani, de Fati et de celui que l'on appelle Scarface, un voyou de quartier qui avait jadis tenté, mais en vain, la même mission. Une comédie de cancres potache et survoltée.;Marc Lavoine;Brice Lefoll;Thomas Solivérès  ;Greg;Valérie Karsenti;Christine Mollet;Antoine Blossier;comédie;https://video-a-la-demande.orange.fr/film/ATOUTEEPREUW0090140/;2,99;7.99 euros
TVOD;LASTRATEGIEW0077717;STUDIO CANAL;La stratégie de la poussette;2011;film;France;127984;0000-0002-6F40-0000-T-0000-0000-O;1:26;tous publics;"Thomas a laissé partir Marie, à force de ne pas s'engager. Un an plus tard, toujours inconsolable, il se retrouve avec un bébé sur les bras. Il va se servir de cet enfant pour reconquérir la femme de sa vie... L'acteur principal Raphaël Personnaz n'oubliera jamais sa première rencontre avec l'actrice Charlotte Le Bon : "" Elle s'est pointée devant moi et elle m'a dit : 'C'est toi, le type à qui je dois rouler des pelles ?' Je n'ai eu aucune repartie. J'ai rigolé comme le fait François Hollande dans les Guignols. L'acteur ajoute : ""En tout cas, j'ai compris que j'avais devant moi une nature hors du commun.""";Raphaël Personnaz;Thomas Platz;Charlotte Le Bon;Marie Deville;Jérôme Commandeur;Paul Bordinot;Clément Michel;comédie romantique;https://video-a-la-demande.orange.fr/film/LASTRATEGIEW0077717/;2,99;7.99 euros
TVOD;CAMILLEREDOW0074810;GAUMONT;Camille redouble;2011;film;France;128110;0000-0003-3FC4-0000-K-0000-0000-E;1:50;tous publics;Camille a seize ans lorsqu'elle rencontre Eric. Ils s'aiment passionnément et Camille donne naissance à une fille...;Noémie Lvovsky;Camille Vaillant;Samir Guesmi;Éric;Yolande Moreau;La mère de Camille;Noémie Lvovsky;comédie;https://video-a-la-demande.orange.fr/film/CAMILLEREDOW0074810/;2,99;7.99 euros
TVOD;LARITOURNELW0092157;Z/AVENUEB-SND;La ritournelle ;2013;film;France;129635;0000-0003-EE9A-0000-D-0000-0000-Z;1:34;tous publics;Brigitte et Xavier sont éleveurs bovins en Normandie. Elle est rêveuse, la tête dans les étoiles. Lui, les pieds ancrés dans la terre, vit surtout pour son métier. Avec le départ des enfants, la routine de leur couple pèse de plus en plus à Brigitte. Un jour, sur un coup de folie, elle prend la clef des champs. Destination : Paris. Xavier réalise alors qu'il est peut-être en train de la perdre. Parviendront-ils à se retrouver ? Et comment se réinventer, après toutes ces années ? La reconquête emprunte parfois des chemins de traverse...;Isabelle Huppert;Brigitte;Jean-Pierre Darroussin;Xavier;Pio Marmai;;Marc Fitoussi;comédie;https://video-a-la-demande.orange.fr/film/LARITOURNELW0092157/;2,99;7.99 euros
TVOD;ADIEUBERTHEW0067160;Z/LE PETIT BUREAU-WARNER;Adieu Berthe ou l'enterrement de mémé;2011;film;France;130475;0000-0002-E680-0000-4-0000-0000-P;1:35;tous publics;"Mémé is dead. Berthe n'est plus. Armand avait ""un peu"" oublié sa grand-mère...Pharmacien, il travaille avec sa femme Hélène à Chatou. Dans un tiroir de médicaments, Armand cache ses accessoires de magie car il prépare en secret un tour pour l'anniversaire de la fille... de son amante Alix . Et mémé dans tout ça? On l'enterre ou on l'incinère? Qui était Berthe?";Denis Podalydès;Armand;Valérie Lemercier;Alix;Isabelle Candelier;Hélène;Bruno Podalydès;comédie;https://video-a-la-demande.orange.fr/film/ADIEUBERTHEW0067160/;2,99;7.99 euros
